Luhya_Loogoli,Kiswahili
LISYOMA LYA JEREMIA,MAOMBOLEZO
"Lya duka ndi lidala kumenya lyeng'ine,lye li lizulira avandu! Lya duka ndi kuva kuli mukunzakali, yili Lya li linene ligali mutsihiri.","Boma lilibaki vipi bila watu, lilikuwa limejaa watu! Lilifikiaje kuwa kama mjane, hili lilikuwa kubwa Zaidi katika koo."
Mukana womwami hagati hevivala yivyo ya duka ndi kunigwa ku lisolola!,Bintiye kiongozi kati ya nchi hizo alianzaje kulazimishwa kuchanga!
2 A liranga ligali inyinga yobudiku amaliga hehe go doolanga ku tsindama tsitye.,2 Ataita kabisa wakati wa usiku katika matanga yake unayookota katika tama zake.
Mu vosi avayanze veve savaveye nomulala u mleminya mwoyo; Avalina veve vosi vamukoleye agobugadi; vagwiye avasigu veve.,Kwa wote wapendwa wake hakuna mmoja anayeupendeza moyo wake; Rafiki zake wote ni waongo; wamekua maadui zake.
"3 Yuda u tsiye mu lyadikidzwa kigira lidambidzwa , Kandi kigira ubutugwa bunene;","3 Yuda amehamishwa kwa sababu ya kuonewa, tena kwa sababu ya utumwa"
"A menyanga hagati he tsihiri, si a veye nobwelemeridzi Kali hakuzuzu.","Anayeishi kati ya koo za makafiri, hana raha hata kidogo."
Ava mu dambidza vosi   vamunyolera ha lumbatania.,Waliokuwa wakimtesa na kumfuata wamemfikia akiwa katika dhiki.
"4 Tsinzira tsya   zioni tsi syomanga kigira si ha veye nomundu udza mu lisavo lyelidiku linene; Viribwa vivye vyosi vi gwiye hatswa , avasalisi veve VA menyanga.","Barabara zielekeazo Sayuni zaomboleza kwa kuwa hakuna yeyote anayekuja kwenye sikukuu zake zilizoamriwa; Malango yake yote yamekuwa ukiwa, makuhani wake wanalia kwa uchungu,"
"Avakana vagima veve va verereridzeywi, na mwene a veye mulitsunwa.","Wanawali wake wamehuzunishwa sana, naye mwenyewe yuko katika maumivu."
"5 Ava mu dambidzanga va  gwiye mutwe, avasigu veve vagasidzeywi; kigira yahova u mu vereridzi kigira ubunyingi bwa mahyolo gege.","Wanaomtesa wamekuwa kichwa, adui zake wamefanikiwa; kwa kuwa Bwana amemtesa kwa wingi wa makosa yake."
Avana vadoto veve va hileywi mulyadikidzwa imbiri womudambidzi.,Watoto wake wadogo wamapelekwa mbele ya huyo mtesi wake.
"6 Na mukana wa zioni, ubukumi bwibwe bwosi bu twuli kuye.","Naye huyo binti Sayuni, enzi yake yote imemwacha."
"Avanene veve vagwiye kuli tsimboongo tsi ta li nekyayiru, na viruki, si va veye netsingulu imbiri wa uyu u va londereranga.","Wakuu wake wako kama ayala ambaye hapati malisho, katika udhaifu wamekimbia mbele ya anayewasaka."
